id,user_id,tenant_id,refresh_token_hash,ip_address,user_agent,expires_at,created_at
a953b5a0-349c-4608-9e3a-dd1d3a02c3a5,ae9182a9-3fa9-4df9-b330-3ae875f658bc,4f881355-3e65-4e7d-8596-390fc455fdd9,34fdf1d9d80ffa23b2c271cb7d6170276d10aa27047fe78aa6861eba42754af2,10.89.2.106,PostmanRuntime/7.39.1,2026-02-21 02:52:57.667555+00,2026-02-14 02:52:57.667557+00
818d4105-1e90-44a1-bd97-06e1e1c5884d,283a9c2d-3b91-41df-99a2-aba8a9d1b661,844df729-0006-47ac-9393-b5752b1c9184,825bdd622f5656d9a645e3c56c0ce00e58dcdf547229e63e7ac5d19646466d9e,10.89.0.6,PostmanRuntime/7.49.1,2026-02-21 04:02:25.286568+00,2026-02-14 04:02:25.286568+00
39b06df8-7af8-45c8-9fcb-615ebef828f8,1953d2bf-01e1-4476-a788-f94d83f87763,b7a81f0c-0b32-4cc6-a0b7-ee90fd9a2a64,a2ada9e8524ce40dedf9aa1dacd396a46bad683e9ec71f75f3a1a49c98ae0378,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:03:27.189509+00,2026-02-14 04:03:27.18951+00
9b05d7f5-0c04-426f-b095-e6f4f6fac368,93bbc76b-d62e-43c0-af8e-57bab5bda0a9,69e3b353-3559-4128-8f6b-f74aa6d3688a,b419fbb3b5b0aaea349b87621c1b3bdd6da17be1a3d7ab66ee35b91c736340a7,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:06:36.124738+00,2026-02-14 04:06:36.124738+00
8fd2a05e-ec91-48d8-8a77-bc5f39382649,851613e5-8d9c-45b6-80dc-746c39485594,8fb48e1d-3445-4625-a769-043f66e13ad4,26ef1a3153cf4accdb944f1daac91e49852fc53c95ac6bfa90147dc28dc9d2da,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:11:05.508147+00,2026-02-14 04:11:05.50815+00
a1c95e3b-9e18-4bec-8d18-da8166edcb68,8229f6ea-f9e5-4bed-a111-2035efb1462d,61111f9f-442b-48c6-8cd0-aa5e659984c6,0137882c22d5001d0e331a14ce050032ef65c8ea378ccc92ed28746465411ea7,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:14:28.964498+00,2026-02-14 04:14:28.964501+00
788a2a92-6c42-4e8d-9ff3-c12a0897f978,6855d96c-fdfa-4b26-aba2-5d2f98e9dc48,c598352e-951a-448e-ab88-232bc27b1db5,40260ab3accbc5c06e70dd403233d34f4e3f1cf0c51b6f35f4a44022f30c4a0f,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:16:13.962642+00,2026-02-14 04:16:13.962644+00
79889207-9c52-461d-9b32-1fb779a222e3,3594a5b9-b081-479e-8b4c-f5516a832208,c3848a21-43b5-4f98-9b56-8807a2846bbc,a061a2981da0364853bd6410ec0cbb70c2c219a5e0cb0d978ee33e0656a425a3,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:17:08.024656+00,2026-02-14 04:17:08.024658+00
ded49310-915c-49df-b020-c51b5a8ece3c,82b6acf9-bc9d-40b5-8d49-1e03e9ca21b8,c6bf048e-141c-437e-bbce-3b59293a954a,06e7072f08db29b2040fc266be9f2f26240f7f670ef121dda4a47a5faff33046,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:18:33.562389+00,2026-02-14 04:18:33.562391+00
29f5c52c-7bb7-4ade-9704-0f48fd466a70,d836ae5a-3af2-47d2-a3a7-c371929e9d81,7c376b03-0f1b-441d-b28e-d931142c1b9b,b782d759234b3265376e9ca502f97a1cf2e1a90ca8a6858a3da32ceed83bb7c9,10.89.0.6,PostmanRuntime/7.39.1,2026-02-21 04:27:59.301871+00,2026-02-14 04:27:59.301873+00
